,2019_tract,2020_tract
0,48491020701,48491020701
1,48491020808,48491020808
2,48491021603,48491021603
3,48491020301,48491020329
4,48453002210,48453002219
5,48491020410,48491020410
6,48491020405,48491020405
7,48491020900,48491020900
8,48453001768,48453036600
9,48209010809,48209010809
10,48209010804,48209010812
11,48491020110,48491020124
12,48453001772,48453033200
13,48453001733,48453031100
14,48491020807,48491020810
15,48453001766,48453035900
16,48453001722,48453030800
17,48491020703,48491020710
18,48453002428,48453002445
19,48453002434,48453002434
20,48491020411,48491020411
21,48209010806,48209010806
22,48453002111,48453002111
23,48491020803,48491020821
24,48453001780,48453037600
25,48453001854,48453045800
26,48453001864,48453043000
27,48453001859,48453042500
28,48453001858,48453046600
29,48491020112,48491020120
30,48491020115,48491020115
31,48453002411,48453002411
32,48453002431,48453002448
33,48453001773,48453036900
34,48453001855,48453046200
35,48491020315,48491020346
36,48453001765,48453035600
37,48453002432,48453002432
38,48491020320,48491020351
39,48453002500,48453002500
40,48453001855,48453046000
41,48453002310,48453002310
42,48453002304,48453002304
43,48453001854,48453045900
44,48453001842,48453044900
45,48491020302,48491020339
46,48453001856,48453042400
47,48491020203,48491020203
48,48453001779,48453037400
49,48453001785,48453034100
50,48491020509,48491020509
51,48491020310,48491020310
52,48491020321,48491020321
53,48491020326,48491020326
54,48491020113,48491020113
55,48453001756,48453032700
56,48453001719,48453030700
57,48453001765,48453035500
58,48491020106,48491020106
59,48453001745,48453031600
60,48453001742,48453031500
61,48453001765,48453035800
62,48453001848,48453042100
63,48453001784,48453034000
64,48491020328,48491020354
65,48453002110,48453002110
66,48021950802,48021950806
67,48491020804,48491020816
68,48055960101,48055960103
69,48209010100,48209010100
70,48453000102,48453000102
71,48209010910,48209010925
72,48491020703,48491020712
73,48209010908,48209010923
74,48491021000,48491021000
75,48491020805,48491020812
76,48209010902,48209010914
77,48491020805,48491020813
78,48209010901,48209010912
79,48491020809,48491020819
80,48209010807,48209010807
81,48209010909,48209010909
82,48209010808,48209010818
83,48209010808,48209010817
84,48491020706,48491020706
85,48209010805,48209010816
86,48021950802,48021950805
87,48491021506,48491021506
88,48453002108,48453002108
89,48491020604,48491020604
90,48491020510,48491020517
91,48021950801,48021950804
